Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work/Life Balance,Per Hour,Monthly,Employer Provided,Min Salary,Max Salary,Avg Salary,Company,CFounded,Age,Need React,Need Angular,Need TypeScript,Need SCSS/SASS,Need Node.js,Need Spring,Need Spring Boot,Need Vue.js,Need PHP,Need .NET,Need Ruby,Need Ruby on Rails,Need WordPress,Need MySQL,Need NoSQL,Need PostgreSQL,Need MongoDB,Need Django,Need Laravel,Need Vue
Full Stack Developer,Employer Provided Salary:₹5L - ₹15L,"Job Description
KNOWLEDGE/EXPERIENCE:
· Software Developer/Coordinator with 5+ years of experience in C#, ASP.net, .net Core , Web API, Angular 4+, Micro services technologies with strong foundation in Data structure, Design patterns and Algorithms.
QUALIFICATIONS/SKILLS:
C#, ASP.net, Web API, Angular 4+, Micro services technologies, SQL server
Strong communication skills
Good understanding of Design Patterns, Data structures and Algorithms
Show More
Report",-1.0,Data PlatformExperts,Remote,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,1,5,15,10.0,Data PlatformExperts,-1.0,-1.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
PP_KI-Full Stack Developer,₹9L - ₹10L (Glassdoor Est.),"Aufgaben
:
– Translate business requirements into implementation strategies
– Manage development team
– Writing Stories, Issues, Documentation
Expertise:
– Moderation skills, verbal expressiveness
– Project Management, Scrum Methodology
– Basic knowledge in Relational Database Modelling
– Basic Python knowledge
– min. 5 years job experience
Qualifikationen
Apply Now: click Apply Now
Show Less
Report",4.0,"Mercedes-Benz Research and Development India Private Limited
4.0",Bangalore,5001 to 10000 Employees,1996,Company - Private,Information Technology Support Services,Information Technology,$100 to $500 million (USD),3.8,3.7,4.1,3.5,4.2,0,0,0,9,10,9.5,"Mercedes-Benz Research and Development India Private Limited
",1996.0,27.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Full Stack Developer,₹9L - ₹10L (Glassdoor Est.),"Aufgaben
Skills:-
Min 2yrs of experience in Frontend technologies Angular is preferred, React-JS.
Good understanding of backend technologies such as Java, spring framework.
Good understanding of databases such PostgreSQL, MySQL etc.
Good knowledge in Docker, Helm, Jenkins, GIT, GIT Hub Actions, and Argo CD is a plus.
Good problem solving skills.
Good communication skills.
Responsibilities:-
Design and develop complex feature end to end independently.
Provide good quality to product.
Bring new ideas to solve the existing better way.
Involve in architectural discussion.
Lead a story and be responsible for end-to-end quality delivery.
Qualifikationen
B Tech/BE
Experience in Application Development
Start your job application: click Apply Now
Show Less
Report",4.0,"Mercedes-Benz Research and Development India Private Limited
4.0",Bangalore,5001 to 10000 Employees,1996,Company - Private,Information Technology Support Services,Information Technology,$100 to $500 million (USD),3.8,3.7,4.1,3.5,4.2,0,0,0,9,10,9.5,"Mercedes-Benz Research and Development India Private Limited
",1996.0,27.0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
Full Stack Developer - Web App Development,₹9L - ₹10L (Glassdoor Est.),"Aufgaben
Responsibilities:
Understand project objectives and business requirements to design software based on the customers’ needs.
Requirement analysis, advanced engineering and execution of deliverables.
Provide solutions and proof of concepts to customers’ problems.
Contribute as an individual or in a team in a very agile development environment.
Qualifications:
A software developer having hands on experience in Development of .Net(C#) based Application

It’s necessary to know HTML, CSS, JavaScript and “.Net” based web application development

Must be aware of Agile methodology of Software development, usage of GIT, Linux based web application deployment

Be able to perform Unit Testing as part of development process.
Good to have knowledge on Unit testing frameworks compatible with C#.
In additional to above we are looking for self-motivated, passionate individual contributors who are ready to collaborate in a team.
Optional but great to have:
Cloud technology exposure p referably Microsoft Azure.
Qualifikationen
Responsibilities:
Understand project objectives and business requirements to design software based on the customers’ needs.
Requirement analysis, advanced engineering and execution of deliverables.
Provide solutions and proof of concepts to customers’ problems.
Contribute as an individual or in a team in a very agile development environment.
Qualifications:
A software developer having hands on experience in Development of .Net(C#) based Application

It’s necessary to know HTML, CSS, JavaScript and “.Net” based web application development

Must be aware of Agile methodology of Software development, usage of GIT, Linux based web application deployment

Be able to perform Unit Testing as part of development process.
Good to have knowledge on Unit testing frameworks compatible with C#.
In additional to above we are looking for self-motivated, passionate individual contributors who are ready to collaborate in a team.

Optional but great to have:
Cloud technology exposure p referably Microsoft Azure.
Start your job application: click Apply Now
Show Less
Report",4.0,"Mercedes-Benz Research and Development India Private Limited
4.0",Bangalore,5001 to 10000 Employees,1996,Company - Private,Information Technology Support Services,Information Technology,$100 to $500 million (USD),3.8,3.7,4.1,3.5,4.2,0,0,0,9,10,9.5,"Mercedes-Benz Research and Development India Private Limited
",1996.0,27.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Java Full Stack Developer,Employer Provided Salary:₹10T - ₹40T,"Experience: 1.0 to 3.0 years of experience
Mandatory Skill: Angular & Spring Boot.
§ Looking for Experience and expertise in Angular and Java Programming skill:
§ Hands on experience in CORE JAVA, JDBC, collection framework, Multithreading programming, OOP concept.
§ Hands on experience in Spring-boot, Hibernate frame work
§ Good in Rest web service, JSON, XML parsing technology
§ Hands on experience in HTML, CSS, JavaScript, JQuery, Angular
§ Fast and smart coding skills, problem finding and debugging skill.
Job Type: Full-time
Salary: ₹10,000.00 - ₹40,000.00 per month
Benefits:
Flexible schedule
Health insurance
Schedule:
Day shift
Ability to commute/relocate:
Nagpur, Maharashtra: Reliably commute or planning to relocate before starting work (Required)
Education:
Bachelor's (Preferred)
Experience:
Angular: 1 year (Preferred)
total work: 1 year (Preferred)
Java: 1 year (Preferred)
Show Less
Report",4.1,"Techior Solutions
4.1",Nāgpur,1 to 50 Employees,Company - Private,Education Support & Training Services,Education,Unknown / Non-Applicable,-1,3.7,3.8,3.7,3.9,3.7,0,1,1,10,40,25.0,"Techior Solutions
",-1.0,-1.0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Senior Full Stack Developer,Employer Provided Salary:₹10L - ₹15L,"Intygrate are passionate about software, IT and helping businesses turn their problems into possibilities using cutting-edge technologies.
We are looking for experienced Senior Full Stack Developers who are comfortable with both front and back-end programming to join our team.
If you are experienced in:
Developing front end website architecture
Designing user interactions on web pages
Developing back-end website applications
Creating servers and databases for functionality
Ensuring cross platform optimisation for mobile
Ensuring responsiveness of applications
Working alongside UI/UX designers for design features
Seeing through a project from conception to finished product
Designing and developing API’s
Meeting both technical and consumer needs
Staying abreast of developments in web applications and programming languages
If you have:
5+ years relevant working experience as a Full Stack Developer
A degree in computer science or relevant field of study
Strong organisational and project management skills
Proficiency with fundamental front-end languages such as HTML, CSS and JavaScript
Familiarity with JavaScript frameworks such as Vue,js, React.js, Express.js and Node.js
Proficiency with a server-side languages such as Java would be beneficial
Familiarity with database technology such as MongoDB, MySQL, DB/2 would be advantageous
Strong experience with cloud infrastructure such as AWS
Proficiency with CI/CD deployment
Familiarity with Google Analytics
Excellent verbal communication skills
Good problem-solving skills
Attention to detail
We can provide:
A flexible working environment
Time to further your experience in technology and framework trends
An opportunity to grow with an organisation
Job Types: Full-time, Regular / Permanent
Salary: ₹1,000,000.00 - ₹1,500,000.00 per year
Benefits:
Paid sick time
Paid time off
Provident Fund
Work from home
Schedule:
Monday to Friday
Supplemental pay types:
Yearly bonus
Education:
Bachelor's (Preferred)
Experience:
JavaScript: 3 years (Required)
Software development: 5 years (Required)
Vue.js: 3 years (Required)
Node.js / Javascript: 3 years (Required)
Show Less
Report",-1.0,Intygrate,India,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,1,10,15,12.5,Intygrate,-1.0,-1.0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1
Full Stack Developer,₹4L - ₹7L (Glassdoor Est.),"We are seeking a talented front-end web developer to join our team. You’ll be part of the UK Building Services Engineering team (although based in India in either our Bengaluru or Noida, Delhi office) and part of a wider ‘Digital Engineering & Automation team’. The ideal candidate should have experience in developing modern, responsive web applications using HTML, CSS, and JavaScript. The candidate should also be comfortable with front-end frameworks such as React, Angular or Svelte as well as with version control tools such as Git.
Responsibilities:
Develop responsive web applications using Svelte via Sveltekit
Work closely with back-end developers to integrate front-end code with server-side logic
Create reusable code and libraries for future use
Show More
Report",3.9,"iCRC
3.9",Bangalore,10000+ Employees,1863,Non-profit Organisation,"Civic, Welfare & Social Services",Non-profit & NGO,Unknown / Non-Applicable,3.5,3.6,3.9,3.2,3.4,0,0,0,4,7,5.5,"iCRC
",1863.0,160.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MERN Stack Developer,Employer Provided Salary:₹15L - ₹20L,"PRIMARY RESPONSIBILITIES FOR FULL STACK ENGINEER:
● You have to perform full stack development activities using React and Node.js
● Technical architecture design along with system architect and product manager
● Writing effective business logic using Rest API
● Algorithm design for system modules
● Database design using NoSQL (MongoDB) or RDBMS (MySQL or PostgreSQL)
● POC development
● Test software to ensure responsiveness and efficiency
● Writing Unit test cases for robust system
● Technical documentation
QUALIFICATIONS :
● Bachelor’s degree in computer sciences or equivalent stream. PG is good to have
● Strong Knowledge of algorithms and data structures
● Hands on experience in various database like MySQL, PostgreSQL and MongoDB
● Hands-on experience to develop Rest API using Node.js with Typescript.
● Hands-on experience on AWS services (EC2, SQS,Lambda).
● Fundamentals of Docker/Containerized application development would be plus
● Experience and Exposure working with different projects and business models will be
an advantage
● Experience as Full Stack Development
● Experience in Blockchain product development would be a plus
● Understanding of blockchain concepts like Web3, NFT, Ethereum, Mining, Token,
Hyperledger
Job Types: Full-time, Regular / Permanent
Salary: ₹1,500,000.00 - ₹2,000,000.00 per year
Benefits:
Health insurance
Leave encashment
Provident Fund
Schedule:
Day shift
Morning shift
Supplemental pay types:
Overtime pay
Performance bonus
Yearly bonus
Ability to commute/relocate:
Gurgaon, Haryana: Reliably commute or planning to relocate before starting work (Preferred)
Education:
Bachelor's (Preferred)
Experience:
React (Preferred)
Node (Preferred)
Show Less
Report",-1.0,Patch Infotech Private Limited,India,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,1,15,20,17.5,Patch Infotech Private Limited,-1.0,-1.0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0
Full Stack Developer,Employer Provided Salary:₹6L - ₹10L,"JOB DESCRIPTION
We are looking for an analytical, results-driven developer who will work with team members to troubleshoot and improve current back-end applications and processes. The Developer will use his or her understanding of programming languages and tools to analyze current codes and industry developments, formulate more efficient processes, solve problems, and create a more seamless experience for users. You should have excellent communication, computer, and project management skills.
To succeed as a backend developer, you should be focused on building a better, more efficient program and creating a better end-user experience. You should be knowledgeable, collaborative, and motivated.
Responsibilities:
Show More
Report",-1.0,Inzint pvt ltd,Remote,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,1,6,10,8.0,Inzint pvt ltd,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Full Stack Android Developer,Employer Provided Salary:₹9L - ₹29L,"What makes a great fit:
Full Stack Android Developer, in a early-stage startup.
Rasing preseed soon + Equity allocation
We are looking for a founding team member who has experience in Native Android Backend development and masters API Integration, Spring Boot and MySQL, Java, Node.Js
The company is based in Chandigarh but the work is remote.
Since the role is of founding member, it involves equity too.
About RideChecker
We are a early stage start-up in stealth, ready to mark dent in the mobility ride hailing space. Raising preseed and building founding team.
Company Type
Start-up
Website
http://ridechecker.com
Company Size
1-10 employees
Office Locations
Mohali, Punjab, India
Show Less
Report",4.3,"BigShyft
4.3",Remote,1 to 50 Employees,2018,Company - Private,HR Consulting,Human Resources & Staffing,Less than $1 million (USD),4.2,3.9,3.7,3.5,3.6,0,0,1,9,29,19.0,"BigShyft
",2018.0,5.0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
